year,avg_mortgage_rate_30yr_pct,min_mortgage_rate_30yr_pct,max_mortgage_rate_30yr_pct,weekly_observation_count
Annual_Mortage_Rates
Year_1984_to_2023

Dataset:Year,Average,Lowest,Highest,#ofWeeks


1984,13.878,13.14,14.68,52
1985,12.43,11.09,13.29,52
1986,10.187,9.29,10.99,52
1987,10.213,9.03,11.58,53
1988,10.342,9.84,10.77,52
1989,10.319,9.68,11.22,52
1990,10.129,9.56,10.67,52
1991,9.247,8.35,9.75,52
1992,8.39,7.84,9.03,53
1993,7.315,6.74,8.07,52
1994,8.381,6.97,9.25,52
1995,7.935,7.11,9.22,52
1996,7.806,6.94,8.42,52
1997,7.599,6.99,8.18,52
1998,6.943,6.49,7.22,53
1999,7.44,6.74,8.15,52
2000,8.053,7.13,8.64,52
2001,6.968,6.45,7.24,52
2002,6.537,5.93,7.18,52
2003,5.827,5.21,6.44,53
2004,5.839,5.38,6.34,52
2005,5.867,5.53,6.37,52
2006,6.413,6.1,6.8,52
2007,6.337,5.96,6.74,52
2008,6.027,5.1,6.63,53
2009,5.037,4.71,5.59,52
2010,4.69,4.17,5.21,52
2011,4.448,3.91,5.05,52
2012,3.657,3.31,4.08,52
2013,3.976,3.34,4.58,52
2014,4.169,3.8,4.53,53
2015,3.851,3.59,4.09,52
2016,3.654,3.41,4.32,52
2017,3.99,3.78,4.3,52
2018,4.545,3.95,4.94,52
2019,3.936,3.49,4.51,52
2020,3.112,2.66,3.72,53
2021,2.958,2.65,3.18,52
2022,5.344,3.22,7.08,52
2023,6.807,6.09,7.79,52